"","Identifier","Source","Museum_number","Family","Genus","Species","Latitude","Longitude","Accuracy","Location","Date","Month","Year","Historic"
"1",1227,"Monadjem","","Typhlopidae","Afrotyphlops","bibronii",-26.9784,31.2492,1,"Hlezane","22-Sep-00",9,2000,""
"2",4431,"Museum","DM1709","Typhlopidae","Afrotyphlops","bibronii",-25.8889,31.2567,2,"Mondi Forest Plantations, approx. 8km N of Pigg's Peak","27-Mar-02",3,2002,""
"3",1083,"EAF","","Typhlopidae","Afrotyphlops","bibronii",-26.1562,31.9824,2,"Mbuluzi GR, Lodge 27","19-Feb-21",2,2021,""
"4",1099,"EAF","","Typhlopidae","Afrotyphlops","bibronii",-26.276,31.157,2,"Pine Valley","21-Feb-21",2,2021,""
"5",1166,"EAF","","Typhlopidae","Afrotyphlops","bibronii",-26.4519,31.0428,2,"Mhlambanyatsi","08-Mar-21",3,2021,""
"6",2138,"EAF","","Typhlopidae","Afrotyphlops","bibronii",-26.326,31.1411,3,"Mbabane","18-Sep-21",9,2021,""
"7",2251,"EAF","","Typhlopidae","Afrotyphlops","bibronii",-26.15,32,2,"Mbuluzi","13-Nov-21",11,2021,""
"8",1465,"Museum","TM69346","Typhlopidae","Afrotyphlops","bibronii",-26.1344,31.1228,2,"Malolotja NR, along Logwaja road","08-Jun-88",6,1988,"Yes"
"9",1406,"Museum","TM71081","Typhlopidae","Afrotyphlops","bibronii",-26.068,31.1944,2,"Nkomati River, old bridge 200m S","11-Aug-91",8,1991,"Yes"
"10",1409,"Museum","TM71083","Typhlopidae","Afrotyphlops","bibronii",-26.0097,31.9925,2,"Lomahasha, 3km S","15-Aug-91",8,1991,"Yes"
"11",4397,"Museum","TM71085","Typhlopidae","Afrotyphlops","bibronii",-26.2142,31.3325,2,"Malandela Beacon, Malandela Hills, within a few hundred meters","15-Oct-91",10,1991,"Yes"
"12",1428,"Museum","TM71094","Typhlopidae","Afrotyphlops","bibronii",-26.7767,31.2106,2,"Mahlangatsha Hills","24-Nov-91",11,1991,"Yes"
"13",1429,"Museum","TM71095","Typhlopidae","Afrotyphlops","bibronii",-26.7767,31.2106,2,"Mahlangatsha Hills","24-Nov-91",11,1991,"Yes"
"14",1581,"Museum","TM71831","Typhlopidae","Afrotyphlops","bibronii",-26.7417,32.0244,2,"Mambane, 3.5km N","07-Dec-91",12,1991,"Yes"
